Comment,Designator,Footprint,LCSC,Quantity
1µF,C1,C_0603_1608Metric,C15849,1
10µf,"C3,C6",C_0805_2012Metric,C15850,2
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
220nf,"C10,C7",C_0603_1608Metric,C21120,2
2,"R10,R7,R8,R9",R_0603_1608Metric,C22977,4
5.1k,"R5,R6",R_0603_1608Metric,C23186,2
2.2µf,"C4,C5,C8,C9",C_0603_1608Metric,C23630,4
10k,"R1,R13,R2,R3",R_0603_1608Metric,C25804,4
WS2812B,"D11,D12,D13,D2,D3,D4,D5,D6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885,8
ESP32-C3-WROOM-02,U1,ESP32-C3-WROOM-02,C2934560,1
BOOT/ROOF,SW1,SW_Push_1P1T_XKB_TS-1187A,C318885,1
SW_DIP_x08,SW4,SW_DIP_SPSTx08_Slide_Copal_CHS-08A_W5.08mm_P1.27mm_JPin,C3293147,1
CN5711,U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,C35634,1
3k,R11,R_0603_1608Metric,C4211,1
AP2112K-3.3,U3,SOT-23-5,C51118,1
FRONT,SW3,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,C561509,1
LED 0.5W 3000k,"D10,D7,D8,D9",LED_PLCC_2835,C694723,4
USBLC6-2SC6,U4,SOT-23-6,C7519,1
