Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0603_1608Metric,13.1,-49.0,90.0,top
C1,1µF,C_0603_1608Metric,13.1,-96.0,90.0,top
C1,1µF,C_0603_1608Metric,60.1,-96.0,90.0,top
C1,1µF,C_0603_1608Metric,60.1,-49.0,90.0,top
C10,220nf,C_0603_1608Metric,90.1,-33.5,-90.0,top
C10,220nf,C_0603_1608Metric,43.1,-33.5,-90.0,top
C10,220nf,C_0603_1608Metric,90.1,-80.5,-90.0,top
C10,220nf,C_0603_1608Metric,43.1,-80.5,-90.0,top
C3,10µf,C_0805_2012Metric,62.95,-41.2,0.0,top
C3,10µf,C_0805_2012Metric,15.95,-88.2,0.0,top
C3,10µf,C_0805_2012Metric,62.95,-88.2,0.0,top
C3,10µf,C_0805_2012Metric,15.95,-41.2,0.0,top
C4,2.2µf,C_0603_1608Metric,87.1,-38.7,-90.0,top
C4,2.2µf,C_0603_1608Metric,40.1,-38.7,-90.0,top
C4,2.2µf,C_0603_1608Metric,87.1,-85.7,-90.0,top
C4,2.2µf,C_0603_1608Metric,40.1,-85.7,-90.0,top
C5,2.2µf,C_0603_1608Metric,42.0,-85.7,-90.0,top
C5,2.2µf,C_0603_1608Metric,89.0,-85.7,-90.0,top
C5,2.2µf,C_0603_1608Metric,42.0,-38.7,-90.0,top
C5,2.2µf,C_0603_1608Metric,89.0,-38.7,-90.0,top
C6,10µf,C_0805_2012Metric,44.5,-85.5,90.0,top
C6,10µf,C_0805_2012Metric,91.5,-85.5,90.0,top
C6,10µf,C_0805_2012Metric,44.5,-38.5,90.0,top
C6,10µf,C_0805_2012Metric,91.5,-38.5,90.0,top
C7,220nf,C_0603_1608Metric,49.2,-56.7,90.0,top
C7,220nf,C_0603_1608Metric,96.2,-56.7,90.0,top
C7,220nf,C_0603_1608Metric,49.2,-9.7,90.0,top
C7,220nf,C_0603_1608Metric,96.2,-9.7,90.0,top
C8,2.2µf,C_0603_1608Metric,95.5,-68.75,-90.0,top
C8,2.2µf,C_0603_1608Metric,95.5,-21.75,-90.0,top
C8,2.2µf,C_0603_1608Metric,48.5,-21.75,-90.0,top
C8,2.2µf,C_0603_1608Metric,48.5,-68.75,-90.0,top
C9,2.2µf,C_0603_1608Metric,46.5,-21.75,-90.0,top
C9,2.2µf,C_0603_1608Metric,93.5,-68.75,-90.0,top
C9,2.2µf,C_0603_1608Metric,93.5,-21.75,-90.0,top
C9,2.2µf,C_0603_1608Metric,46.5,-68.75,-90.0,top
D10,LED 0.5W 3000k,LED_PLCC_2835,63.0,-92.0,-90.0,top
